pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_refname,pl_orbper,pl_orbsmax,pl_radj,pl_massj,pl_bmassj,pl_dens,pl_eqt,pl_orbincl,pl_tranmid,pl_trandep,pl_trandur,st_teff,st_rad,st_mass,st_logg,st_dens,rastr,ra,decstr,dec,sy_dist,sy_vmag
HD 63935 b,1,2,Transit,2021,<a refstr=SCARSDALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..215S/abstract target=ref>Scarsdale et al. 2021</a>,9.05881100,,0.267,0.03398,0.03398,2.20000,911,88.490,2458494.446200,,3.3600000,5534.00,0.96,0.93,4.38,,07h51m41.91s,117.9246417,+09d23m06.87s,9.3852412,48.9739000,8.5800000
AU Mic b,1,2,Transit,2020,<a refstr=KLEIN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.502..188K/abstract target=ref>Klein et al. 2021</a>,8.46321000,,,0.05380,0.05380,1.30000,,89.500,,,,3700.00,0.75,0.50,4.39,,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,8.8100000
AU Mic b,1,2,Transit,2020,<a refstr=GILBERT_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..147G/abstract target=ref>Gilbert et al. 2022</a>,8.46300040,0.064400,0.374,,,,,89.180,2458330.390800,,3.5600000,,0.75,,,1.6700,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,8.8100000
AU Mic b,1,2,Transit,2020,<a refstr=ZICHER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.512.3060Z/abstract target=ref>Zicher et al. 2022</a>,8.46300000,,,0.03681,0.03681,0.97000,,,2458330.390510,,,3700.00,0.75,0.50,4.39,,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,8.8100000
AU Mic b,1,2,Transit,2020,<a refstr=MARTIOLI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.177M/abstract target=ref>Martioli et al. 2021</a>,8.46300000,0.064500,0.363,0.05349,0.05349,1.40000,593,89.500,2458330.390510,,3.5000000,3700.00,0.75,0.50,,,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,8.8100000
AU Mic b,1,2,Transit,2020,<a refstr=PLAVCHAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020Natur.582..497P/abstract target=ref>Plavchan et al. 2020</a>,8.46321000,0.066000,0.375,,0.18000,4.40000,,,2458330.391530,,3.5000000,3700.00,0.75,0.50,,,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,8.8100000
AU Mic b,1,2,Transit,2020,<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,8.46299910,0.064500,,0.06330,0.06330,1.32000,,,2458330.390460,,,,,0.50,,,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,8.8100000
TOI-431 b,1,3,Transit,2021,<a refstr=OSBORN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.2782O/abstract target=ref>Osborn et al. 2021</a>,0.49004700,0.011300,0.114,0.00966,0.00966,8.00000,1862,84.300,2458627.538000,,,4850.00,0.73,0.78,4.60,,05h33m04.62s,83.2692502,-26d43m25.93s,-26.7238698,32.5686000,9.1200000
TOI-431 c,1,3,Radial Velocity,2021,<a refstr=OSBORN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.507.2782O/abstract target=ref>Osborn et al. 2021</a>,4.84940000,0.052000,,,0.00890,,867,86.350,2458625.900000,,,4850.00,0.73,0.78,4.60,,05h33m04.62s,83.2692502,-26d43m25.93s,-26.7238698,32.5686000,9.1200000
HD 93963 A b,2,2,Transit,2022,<a refstr=SERRANO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220713920S/abstract target=ref>Serrano et al. 2022</a>,1.03913530,0.020850,0.120,0.02454,0.02454,,2042,86.210,2458901.277400,0.014150,1.8120000,5987.00,1.04,1.11,4.49,1.9554,10h51m06.41s,162.7766969,+25d38m27.83s,25.6410650,82.3432000,9.1820000
HD 93963 A c,2,2,Transit,2022,<a refstr=SERRANO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220713920S/abstract target=ref>Serrano et al. 2022</a>,3.64513980,0.048130,0.288,0.06041,0.06041,,1344,86.310,2458902.872740,0.080520,2.2680000,5987.00,1.04,1.11,4.49,1.9554,10h51m06.41s,162.7766969,+25d38m27.83s,25.6410650,82.3432000,9.1820000
GJ 740 b,1,1,Radial Velocity,2021,<a refstr=TOLEDO_PADR_OACUTE_N_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...648A..20T/abstract target=ref>Toledo-Padr&oacute;n et al. 2021</a>,2.37756000,0.029000,,,0.00931,,829,,,,,3913.00,0.56,0.58,4.68,,18h57m59.93s,284.4997178,+05d54m10.32s,5.9028670,11.1017000,9.2200000
HD 108236 b,1,5,Transit,2020,<a refstr=DAYLAN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...85D/abstract target=ref>Daylan et al. 2021</a>,3.79523000,0.046900,0.141,,,,1099,87.880,2458572.112800,,2.3000000,5730.00,0.89,0.97,4.50,1.9400,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978000,9.2500000
HD 108236 b,1,5,Transit,2020,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,3.79596300,0.045270,0.144,,,,,87.590,2458773.296400,0.028500,2.3840000,5660.00,0.88,0.87,4.49,1.8200,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978000,9.2500000
HD 108236 c,1,5,Transit,2020,<a refstr=DAYLAN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...85D/abstract target=ref>Daylan et al. 2021</a>,6.20370000,0.065100,0.184,,,,932,88.720,2458572.394900,,2.9130000,5730.00,0.89,0.97,4.50,1.9400,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978000,9.2500000
HD 108236 c,1,5,Transit,2020,<a refstr=BONFANTI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.157B/abstract target=ref>Bonfanti et al. 2021</a>,6.20344900,0.062000,0.185,,,,,88.300,2458770.905860,0.046900,2.8600000,5660.00,0.88,0.87,4.49,1.8200,12h26m17.78s,186.5740627,-51d21m46.99s,-51.3630519,64.5978000,9.2500000
HIP 86221 b,1,1,Radial Velocity,2021,<a refstr=PAREDES_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..176P/abstract target=ref>Paredes et al. 2021</a>,2.22400000,0.031000,,,0.71000,,,,,,,,,0.79,,,17h37m10.77s,264.2948750,+27d53m47.01s,27.8963910,29.4898000,9.2500000
HD 80653 b,1,1,Transit,2020,<a refstr=YU_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...22Y/abstract target=ref>Yu et al. 2018</a>,0.71959700,,,,,,,,2458095.564790,0.014900,1.5336000,6080.00,1.22,,4.34,,09h21m21.38s,140.3390845,+14d22m04.33s,14.3678691,109.8600000,9.4520000
HD 80653 b,1,1,Transit,2020,<a refstr=FRUSTAGLI_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...633A.133F/abstract target=ref>Frustagli et al. 2020</a>,0.71957300,0.016600,0.144,0.01762,0.01762,7.40000,,82.100,2458134.424400,,1.7976000,,1.22,1.18,4.34,0.9000,09h21m21.38s,140.3390845,+14d22m04.33s,14.3678691,109.8600000,9.4520000
HD 260655 b,1,2,Transit,2022,<a refstr=LUQUE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220410261L/abstract target=ref>Luque et al. 2022</a>,2.76953000,0.029330,0.111,0.00673,0.00673,6.20000,709,87.350,2459497.910200,,1.1500000,3803.00,0.44,0.44,5.20,7.3000,06h37m09.97s,99.2915429,+17d33m58.57s,17.5662696,10.0055000,9.6300000
HD 260655 c,1,2,Transit,2022,<a refstr=LUQUE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220410261L/abstract target=ref>Luque et al. 2022</a>,5.70588000,0.047490,0.137,0.00972,0.00972,4.70000,557,87.790,2459490.364600,,0.9800000,3803.00,0.44,0.44,5.20,7.3000,06h37m09.97s,99.2915429,+17d33m58.57s,17.5662696,10.0055000,9.6300000
GJ 393 b,1,1,Radial Velocity,2021,<a refstr=AMADO_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...650A.188A/abstract target=ref>Amado et al. 2021</a>,7.02679000,0.054020,,,0.00538,,485,,,,,3579.00,0.43,0.43,4.88,,10h28m54.93s,157.2288672,+00d50m16.25s,0.8378485,7.0314900,9.6500000
HD 73583 b,1,2,Transit,2022,<a refstr=BARRAG_AACUTE_N_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv211013069B/abstract target=ref>Barrag&aacute;n et al. 2021</a>,6.39804200,0.060400,0.249,0.03209,0.03209,2.58000,714,88.370,2458517.690130,,2.1430000,4511.00,0.65,0.73,4.62,3.6900,08h38m45.19s,129.6883026,-13d15m23.50s,-13.2565267,31.5666000,9.6700000
TOI-1789 b,1,1,Transit,2021,<a refstr=KHANDELWAL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.3339K/abstract target=ref>Khandelwal et al. 2022</a>,3.20866400,0.048820,1.440,0.70000,0.70000,0.28000,1927,78.410,2458873.653740,0.463000,2.3000000,5991.00,2.17,1.51,3.94,0.2080,09h30m58.42s,142.7434060,+26d32m23.98s,26.5399951,229.0670000,9.7210000
HIP 67522 b,1,1,Transit,2020,<a refstr=RIZZUTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160...33R/abstract target=ref>Rizzuto et al. 2020</a>,6.95950300,,0.898,,,,1174,89.340,2458604.023710,,4.8220000,5675.00,1.38,1.22,,0.6500,13h50m06.24s,207.5260010,-40d50m09.23s,-40.8358961,127.2800000,9.7900000
LTT 9779 b,1,1,Transit,2020,<a refstr=JENKINS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs.tmp..180J/abstract target=ref>Jenkins et al. 2020</a>,0.79205200,0.016790,0.421,0.09225,0.09225,1.53600,1978,76.390,2458354.214300,,,5443.00,0.95,0.77,4.35,1.8100,23h54m40.53s,358.6688767,-37d37m41.61s,-37.6282237,80.4373000,9.7900000
TOI-1842 b,1,1,Transit,2021,<a refstr=WITTENMYER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...82W/abstract target=ref>Wittenmyer et al. 2022</a>,9.57390000,0.100100,1.040,0.21400,0.21400,0.25200,,88.400,2459402.457500,,4.3000000,6230.00,2.02,1.46,4.10,0.2500,13h27m51.04s,201.9626552,+09d01m50.32s,9.0306437,223.4650000,9.8150000
TOI-251 b,1,1,Transit,2021,<a refstr=ZHOU_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161....2Z/abstract target=ref>Zhou et al. 2021</a>,4.93777000,0.057410,0.244,1.00000,1.00000,,,87.520,2458357.305480,,2.2320000,5875.00,0.88,1.04,4.56,,23h32m14.90s,353.0620655,-37d15m21.11s,-37.2558629,99.5230000,9.8870000
TOI-251 b,1,1,Transit,2021,<a refstr=PATEL__AMP__ESPINOZA_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..228P/abstract target=ref>Patel &amp; Espinoza 2022</a>,4.93772540,,,,,,,,2459107.839100,,,5875.00,0.88,1.04,4.56,,23h32m14.90s,353.0620655,-37d15m21.11s,-37.2558629,99.5230000,9.8870000
HD 137496 b,1,2,Transit,2021,<a refstr=AZEVEDO_SILVA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022A&A...657A..68A/abstract target=ref>Azevedo Silva et al. 2022</a>,1.62116000,0.027320,0.117,0.01271,0.01271,10.49000,2130,85.800,2458039.131700,0.005750,3.2800000,5799.00,1.59,1.04,4.05,0.2590,15h26m58.09s,231.7420543,-16d30m32.41s,-16.5090014,155.3170000,9.8990000
TOI-421 b,2,2,Transit,2020,<a refstr=CARLEO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..114C/abstract target=ref>Carleo et al. 2020</a>,5.19672000,0.056000,0.239,0.02256,0.02256,2.05000,981,85.680,2458441.284700,,1.1070000,5325.00,0.87,0.85,4.49,2.7200,05h27m24.79s,81.8532824,-14d16m36.27s,-14.2767404,74.7969000,9.9310000
HD 110113 b,1,2,Transit,2021,<a refstr=OSBORN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.4842O/abstract target=ref>Osborn et al. 2021</a>,2.54100000,0.035000,0.183,0.01432,0.01432,2.90000,1371,,2458570.101000,,2.3760000,5732.00,0.97,1.00,4.46,,12h40m08.78s,190.0365636,-44d18m43.48s,-44.3120777,106.3070000,10.0900000
HD 110113 c,1,2,Radial Velocity,2021,<a refstr=OSBORN_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.4842O/abstract target=ref>Osborn et al. 2021</a>,6.74400000,0.068000,,,0.03304,,990,,,,,5732.00,0.97,1.00,4.46,,12h40m08.78s,190.0365636,-44d18m43.48s,-44.3120777,106.3070000,10.0900000
TOI-628 b,1,1,Transit,2021,<a refstr=RODRIGUEZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..194R/abstract target=ref>Rodriguez et al. 2021</a>,3.40956750,0.048600,1.060,6.33000,6.33000,6.58000,1586,88.410,2458629.479720,0.657000,3.7824000,6250.00,1.34,1.31,4.30,0.7620,06h37m03.13s,99.2630608,+01d46m03.18s,1.7675497,178.6800000,10.1120000
GJ 367 b,1,1,Transit,2021,<a refstr=LAM_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021Sci...374.1271L/abstract target=ref>Lam et al. 2021</a>,0.32196200,0.007100,0.064,0.00172,0.00172,8.10600,1745,80.750,2458544.134800,0.021200,0.6150000,3522.00,0.46,0.45,4.78,6.7108,09h44m29.15s,146.1214640,-45d46m44.46s,-45.7790165,9.4126300,10.1530000
TOI-2109 b,1,1,Transit,2021,<a refstr=WONG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..256W/abstract target=ref>Wong et al. 2021</a>,0.67247414,0.017910,1.347,5.02000,5.02000,,3646,70.740,2459378.459370,0.665100,,6540.00,1.70,1.45,4.14,0.4170,16h52m44.71s,253.1862971,+16d34m47.70s,16.5799153,262.0410000,10.2170000
TOI-1062 b,1,2,Transit,2021,<a refstr=OTEGI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A.105O/abstract target=ref>Otegi et al. 2021</a>,4.11296000,0.052000,0.202,0.03194,0.03194,4.85000,1077,85.913,2459082.590000,,,5328.00,0.84,0.94,4.55,2.2200,02h32m29.03s,38.1209678,-78d01m25.26s,-78.0236828,82.1733000,10.2490000
TOI-1062 c,1,2,Radial Velocity,2021,<a refstr=OTEGI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A.105O/abstract target=ref>Otegi et al. 2021</a>,7.97200000,0.080000,,,0.03077,,859,,,,,5328.00,0.84,0.94,4.55,2.2200,02h32m29.03s,38.1209678,-78d01m25.26s,-78.0236828,82.1733000,10.2490000
TOI-561 b,1,5,Transit,2020,<a refstr=WEISS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...56W/abstract target=ref>Weiss et al. 2021</a>,0.44657300,0.010640,0.129,0.01007,0.01007,5.50000,2480,,2458517.497300,,1.4200000,5326.00,0.83,0.81,4.50,1.9500,09h52m44.44s,148.1851516,+06d12m57.97s,6.2161030,85.7990000,10.2520000
TOI-561 b,1,5,Transit,2020,<a refstr=LACEDELLI_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.tmp.3556L/abstract target=ref>Lacedelli et al. 2020</a>,0.44657800,0.010550,0.127,0.00500,0.00500,3.00000,,87.000,2458517.498000,,1.3270000,5455.00,0.85,0.79,4.47,1.8090,09h52m44.44s,148.1851516,+06d12m57.97s,6.2161030,85.7990000,10.2520000
TOI-763 b,1,2,Transit,2020,<a refstr=FRIDLUND_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.498.4503F/abstract target=ref>Fridlund et al. 2020</a>,5.60570000,0.060000,0.203,0.03080,0.03080,4.51000,1038,,2458572.102000,,,5450.00,0.90,0.92,4.45,,12h57m52.34s,194.4680980,-39d45m29.02s,-39.7580613,95.1274000,10.2650000
TOI-2427 b,1,1,Transit,2022,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,1.30600110,0.020200,0.161,,,,1117,,2459169.620200,,,4072.00,0.65,0.64,4.62,,03h29m10.02s,52.2917315,-31d21m46.32s,-31.3628665,28.5147000,10.2950000
WASP-187 b,1,1,Transit,2020,<a refstr=SCHANCHE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499..428S/abstract target=ref>Schanche et al. 2020</a>,5.14787800,0.065300,1.640,0.80000,0.80000,0.22400,,,2455197.352900,0.350000,5.8200000,6150.00,2.83,1.54,3.72,0.0960,01h09m53.94s,17.4747400,+25d40m53.94s,25.6816494,371.4140000,10.2950000
TOI-954 b,1,1,Transit,2020,<a refstr=PATEL__AMP__ESPINOZA_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..228P/abstract target=ref>Patel &amp; Espinoza 2022</a>,3.68497290,,,,,,,,2459156.270050,,,5710.00,1.89,1.20,3.96,0.2490,04h07m45.85s,61.9410587,-25d12m31.69s,-25.2088028,238.7680000,10.3430000
TOI-954 b,1,1,Transit,2020,<a refstr=SHA_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...82S/abstract target=ref>Sha et al. 2021</a>,3.68497290,0.049630,0.852,0.17400,0.17400,0.35000,1526,84.400,2458411.906510,,5.0900000,5710.00,1.89,1.20,3.96,0.2490,04h07m45.85s,61.9410587,-25d12m31.69s,-25.2088028,238.7680000,10.3430000
K2-376 b,1,1,Transit,2022,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,5.77647500,,0.155,,,,,,2458096.742607,,2.1000000,5937.00,1.15,0.91,4.28,,08h50m52.64s,132.7193327,+25d02m17.10s,25.0380824,161.6100000,10.4150000
K2-376 b,1,1,Transit,2022,<a refstr=CHRISTIANSEN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220302087C/abstract target=ref>Christiansen et al. 2022</a>,5.77647500,,0.155,,,,,,2458096.742600,,,5937.00,1.15,0.91,4.28,,08h50m52.64s,132.7193327,+25d02m17.10s,25.0380824,161.6100000,10.4150000
TOI-640 b,1,1,Transit,2021,<a refstr=RODRIGUEZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..194R/abstract target=ref>Rodriguez et al. 2021</a>,5.00377750,0.066080,1.771,0.88000,0.88000,0.19500,1749,82.540,2458459.738770,0.764000,3.6048000,6460.00,2.08,1.54,3.99,0.2400,06h38m56.30s,99.7345935,-36d38m46.07s,-36.6461300,341.9970000,10.5100000
TOI-500 b,1,4,Transit,2022,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,0.54815790,0.012800,0.103,,,,1693,,2458468.391700,,,4621.00,0.75,0.88,4.63,,07h06m14.18s,106.5590980,-47d35m16.14s,-47.5878156,47.3924000,10.5400000
TOI-500 b,1,4,Transit,2022,<a refstr=SERRANO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp...95S/abstract target=ref>Serrano et al. 2022</a>,0.54817700,0.011890,0.104,0.00447,0.00447,4.89000,1617,82.090,2458468.390500,0.024870,0.9980000,4440.00,0.68,0.74,4.62,,07h06m14.18s,106.5590980,-47d35m16.14s,-47.5878156,47.3924000,10.5400000
TOI-500 c,1,4,Radial Velocity,2022,<a refstr=SERRANO_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp...95S/abstract target=ref>Serrano et al. 2022</a>,6.63560000,,,,0.01583,,,,2458561.960000,,,4440.00,0.68,0.74,4.62,,07h06m14.18s,106.5590980,-47d35m16.14s,-47.5878156,47.3924000,10.5400000
TOI-1107 b,1,1,Transit,2022,<a refstr=PSARIDI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220510854P/abstract target=ref>Psaridi et al. 2022</a>,4.07823870,0.056100,1.300,3.35000,3.35000,1.89000,1728,88.630,2459385.012300,,,6311.00,1.81,1.35,4.05,0.3370,10h22m25.89s,155.6078632,-82d13m07.93s,-82.2188693,281.3140000,10.5530000
LTT 1445 A c,3,2,Transit,2022,<a refstr=WINTERS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210714737W/abstract target=ref>Winters et al. 2021</a>,3.12390350,0.026610,0.102,0.00485,0.00485,5.57000,508,87.430,2458412.581590,0.157000,0.4820000,3340.00,0.27,0.26,,,03h01m50.99s,45.4624781,-16d35m40.18s,-16.5944956,6.8692900,10.5900000
TOI-837 b,1,1,Transit,2020,<a refstr=BOUMA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..239B/abstract target=ref>Bouma et al. 2020</a>,8.32487620,,0.770,,1.20000,,,,2458574.272527,,1.9570000,6047.00,1.02,1.12,4.47,1.4000,10h28m08.95s,157.0372806,-64d30m18.76s,-64.5052107,142.4880000,10.6350000
TOI-837 b,1,1,Transit,2020,<a refstr=PATEL__AMP__ESPINOZA_2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..228P/abstract target=ref>Patel &amp; Espinoza 2022</a>,8.32487600,,,,,,,,2458615.898180,,,6047.00,1.02,1.12,4.47,1.4000,10h28m08.95s,157.0372806,-64d30m18.76s,-64.5052107,142.4880000,10.6350000
TOI-544 b,1,1,Transit,2022,<a refstr=GIACALONE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...99G/abstract target=ref>Giacalone et al. 2022</a>,1.54835100,0.025100,0.181,,,,1082,,2458469.757000,,,4369.00,0.66,0.85,4.73,,05h29m09.62s,82.2900716,-00d20m34.43s,-0.3428983,41.1166000,10.7770000
WASP-186 b,1,1,Transit,2020,<a refstr=SCHANCHE_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.499..428S/abstract target=ref>Schanche et al. 2020</a>,5.02679900,0.060000,1.110,4.22000,4.22000,3.82100,,,2456237.119500,0.610000,2.7040000,6361.00,1.47,1.22,4.19,0.5460,01h15m58.87s,18.9953122,+21d37m00.86s,21.6169065,278.5140000,10.8100000
